RecordNumber;customerId;Name;Surname;CustomerAddress;ZipCode;NationalID;DateOfBirth;Street;City
42;319856;Nathan;Dubois;Nice Avenue des Champs-Élysées;48553;4190708194;2/19/2027;Avenue des Champs-Élysées;Nice
43;591353;Arthur;Dubois;Marseille Rue des Martyrs;9823;7536601933;1/1/2026;Rue des Martyrs;Marseille
44;653936;Jade;Richard;Strasbourg Rue de Rivoli;27163;107345;3/15/2027;Rue de Rivoli;Strasbourg
45;839752;Rose;Thomas;Nice Rue de la Paix;91323;70952;6/28/2032;Rue de la Paix;Nice
46;430401;Léa;Simon;Marseille Avenue Montaigne;39545;2130496989;4/19/2028;Avenue Montaigne;Marseille
47;193733;Lucas;Petit;Marseille Avenue Montaigne;94851;20045;6/14/2033;Avenue Montaigne;Marseille
48;51613;Inès;Martin;Marseille Rue de la République;44930;3828103901;7/5/2033;Rue de la République;Marseille
49;691387;Louis;Thomas;Marseille Avenue Victor Hugo;78865;8436614933;1/17/2033;Avenue Victor Hugo;Marseille
50;914475;Rose;Simon;Lyon Rue de Rivoli;54720;1942190200;7/31/2024;Rue de Rivoli;Lyon
51;81335;Gabriel;Bernard;Toulouse Rue de la République;55441;107924;7/9/2032;Rue de la République;Toulouse
52;755322;Milo;Martin;Nice Rue des Martyrs;70034;3004204206;7/7/2032;Rue des Martyrs;Nice
53;547343;Emma;Durand;Marseille Rue de Rivoli;84963;98541;7/5/2025;Rue de Rivoli;Marseille
54;467940;Gabriel;Moreau;Strasbourg Avenue Victor Hugo;55740;2269573041;9/1/2026;Avenue Victor Hugo;Strasbourg
55;235459;Emma;Richard;Toulouse Rue de la République;43967;7870791084;8/7/2026;Rue de la République;Toulouse
56;471327;Lucas;Durand;Toulouse Rue de la Paix;12232;59539;5/19/2031;Rue de la Paix;Toulouse
57;961129;Milo;Leroy;Lyon Rue de Rivoli;94995;16758;10/17/2025;Rue de Rivoli;Lyon
58;289054;Lucas;Richard;Nice Rue de la Paix;83455;367140541;2/12/2027;Rue de la Paix;Nice
59;824891;Nathan;Thomas;Marseille Rue des Martyrs;93547;107770;6/6/2032;Rue des Martyrs;Marseille
60;388054;Emma;Martin;Paris Boulevard Haussmann;5448;32746;7/11/2028;Boulevard Haussmann;Paris
61;812371;Léa;Robert;Marseille Rue des Martyrs;95298;1065958409;4/12/2031;Rue des Martyrs;Marseille
62;620750;Inès;Martin;Lyon Rue de Rivoli;71911;3735004129;3/7/2029;Rue de Rivoli;Lyon
63;394028;Hugo;Bernard;Nice Avenue Montaigne;11618;2762165939;12/20/2024;Avenue Montaigne;Nice
64;373913;Rose;Bernard;Strasbourg Boulevard Haussmann;84848;8298001629;3/11/2030;Boulevard Haussmann;Strasbourg
65;142995;Manon;Robert;Paris Rue de la Paix;31297;18130;5/23/2032;Rue de la Paix;Paris
66;253875;Lucas;Petit;Nice Avenue des Champs-Élysées;36324;5146931472;8/14/2028;Avenue des Champs-Élysées;Nice
67;300306;Rose;Martin;Toulouse Boulevard Haussmann;51192;13421595;6/7/2025;Boulevard Haussmann;Toulouse
68;771016;Hugo;Durand;Paris Rue de la République;63787;1986745192;3/27/2030;Rue de la République;Paris
69;602671;Manon;Bernard;Paris Avenue des Champs-Élysées;55512;3208705382;5/20/2025;Avenue des Champs-Élysées;Paris
70;467940;Gabriel;Moreau;Strasbourg Rue des Martyrs;36178;105062;2/22/2031;Rue des Martyrs;Strasbourg
71;972918;Jade;Durand;Toulouse Avenue Victor Hugo;96833;39210;7/29/2032;Avenue Victor Hugo;Toulouse
72;653936;Inès;Bernard;Toulouse Rue Lafayette;55075;77243;9/9/2029;Rue Lafayette;Toulouse
73;128281;Jade;Thomas;Toulouse Boulevard Saint-Germain;51882;3484011928;10/2/2033;Boulevard Saint-Germain;Toulouse
74;111957;Camille;Durand;Paris Rue Lafayette;16543;829446100;11/25/2030;Rue Lafayette;Paris
75;956325;Arthur;Leroy;Toulouse Rue de la République;75058;159001506;9/4/2025;Rue de la République;Toulouse
76;854861;Lucas;Petit;Nice Rue de la République;34259;37537;3/26/2029;Rue de la République;Nice
77;398516;Arthur;Richard;Nice Rue de Rivoli;34898;2736686959;6/20/2029;Rue de Rivoli;Nice
78;836973;Camille;Petit;Toulouse Rue Lafayette;32010;3425162119;11/20/2032;Rue Lafayette;Toulouse
79;338925;Louis;Petit;Marseille Rue Lafayette;48187;55131;12/5/2024;Rue Lafayette;Marseille
80;620266;Nathan;Richard;Strasbourg Avenue des Champs-Élysées;49680;24870;10/14/2027;Avenue des Champs-Élysées;Strasbourg
81;407023;Jade;Simon;Marseille Boulevard Saint-Germain;61445;7125400085;12/27/2026;Boulevard Saint-Germain;Marseille
82;655657;Léa;Bernard;Strasbourg Avenue Montaigne;21506;37068;10/30/2031;Avenue Montaigne;Strasbourg
83;518767;Chloé;Dubois;Strasbourg Avenue Victor Hugo;93231;88785;3/30/2031;Avenue Victor Hugo;Strasbourg
84;543013;Chloé;Thomas;Nice Avenue des Champs-Élysées;88836;8044564920;9/10/2028;Avenue des Champs-Élysées;Nice
85;468873;Léa;Richard;Paris Rue de Rivoli;75550;4643237236;9/21/2026;Rue de Rivoli;Paris
86;770330;Louis;Richard;Nice Avenue Montaigne;29003;95774;6/30/2030;Avenue Montaigne;Nice
87;259354;Léa;Petit;Paris Rue de Rivoli;50858;9047364218;9/30/2028;Rue de Rivoli;Paris
88;761082;Chloé;Bernard;Strasbourg Boulevard Haussmann;96244;9712458840;8/27/2029;Boulevard Haussmann;Strasbourg
89;777821;Gabriel;Leroy;Strasbourg Rue de la Paix;88582;92246;4/10/2027;Rue de la Paix;Strasbourg
90;796754;Chloé;Thomas;Lyon Rue de Rivoli;5842;48478;7/26/2030;Rue de Rivoli;Lyon
91;625496;Inès;Thomas;Paris Avenue des Champs-Élysées;99086;31813;6/24/2029;Avenue des Champs-Élysées;Paris
92;973683;Louis;Simon;Paris Rue de la République;9110;5711562716;2/6/2033;Rue de la République;Paris
93;851712;Milo;Thomas;Lyon Rue des Martyrs;16437;87561;7/27/2031;Rue des Martyrs;Lyon
94;822305;Chloé;Durand;Nice Avenue des Champs-Élysées;69364;1272252014;7/10/2026;Avenue des Champs-Élysées;Nice
95;669630;Lucas;Richard;Lyon Rue de la Paix;93656;94447;8/30/2030;Rue de la Paix;Lyon
96;213994;Manon;Richard;Nice Boulevard Saint-Germain;84680;2387002374;3/28/2031;Boulevard Saint-Germain;Nice
97;676447;Hugo;Dubois;Lyon Rue de la Paix;75841;36724;3/18/2032;Rue de la Paix;Lyon
98;646501;Camille;Dubois;Marseille Avenue des Champs-Élysées;92238;4666945463;7/10/2027;Avenue des Champs-Élysées;Marseille
99;9773;Milo;Richard;Toulouse Avenue des Champs-Élysées;375;41532;1/25/2032;Avenue des Champs-Élysées;Toulouse
100;149419;Hugo;Petit;Paris Rue des Martyrs;4910;55694;12/30/2025;Rue des Martyrs;Paris
101;305750;Léa;Robert;Marseille Rue de la Paix;29440;4088385039;5/19/1979;Rue de la Paix;Marseille
102;213994;Lucas;Robert;Lyon Boulevard Saint-Germain;23200;4152120959;11/27/2002;Boulevard Saint-Germain;Lyon
103;782377;Manon;Leroy;Lyon Boulevard Haussmann;1173;6823436557;9/4/2003;Boulevard Haussmann;Lyon
104;961129;Emma;Durand;Toulouse Boulevard Saint-Germain;53644;1456446002;3/16/1987;Boulevard Saint-Germain;Toulouse
105;600983;Camille;Dubois;Nice Avenue Montaigne;78132;4621782592;11/15/1976;Avenue Montaigne;Nice
106;498898;Léa;Dubois;Marseille Boulevard Saint-Germain;45523;8625659111;8/9/1996;Boulevard Saint-Germain;Marseille
107;912642;Rose;Bernard;Strasbourg Rue de la Paix;37042;4304233297;1/13/1977;Rue de la Paix;Strasbourg
108;167790;Arthur;Martin;Nice Rue de la République;49065;7334224175;8/13/1974;Rue de la République;Nice
109;356431;Léa;Dubois;Strasbourg Boulevard Saint-Germain;92672;7018816785;1/8/1998;Boulevard Saint-Germain;Strasbourg
110;882389;Nathan;Martin;Strasbourg Avenue des Champs-Élysées;15636;4646918579;1/21/1974;Avenue des Champs-Élysées;Strasbourg
111;392532;Lucas;Dubois;Paris Avenue des Champs-Élysées;67644;8012895307;11/3/1983;Avenue des Champs-Élysées;Paris
112;58553;Léa;Leroy;Paris Avenue Victor Hugo;52569;7785340935;3/22/1992;Avenue Victor Hugo;Paris
113;211116;Louis;Dubois;Lyon Rue de la République;28215;7516504122;10/24/1970;Rue de la République;Lyon
114;36032;Nathan;Leroy;Marseille Rue de la Paix;34550;5981011807;1/13/1978;Rue de la Paix;Marseille
115;267533;Arthur;Robert;Lyon Boulevard Haussmann;41437;4600008561;6/25/1997;Boulevard Haussmann;Lyon
116;682444;Manon;Dubois;Strasbourg Rue de Rivoli;61468;6510027844;1/8/1978;Rue de Rivoli;Strasbourg
117;356431;Camille;Martin;Lyon Rue Lafayette;89520;3331391247;2/13/1975;Rue Lafayette;Lyon
118;708274;Inès;Durand;Lyon Avenue Victor Hugo;17027;4596259356;11/7/1994;Avenue Victor Hugo;Lyon
119;373913;Louis;Petit;Marseille Boulevard Saint-Germain;29946;7190651853;3/23/2004;Boulevard Saint-Germain;Marseille
120;724328;Emma;Moreau;Marseille Avenue Montaigne;52536;1799989666;1/18/1989;Avenue Montaigne;Marseille
121;643418;Camille;Thomas;Paris Boulevard Haussmann;37556;3903442429;8/31/1988;Boulevard Haussmann;Paris
122;242367;Jade;Bernard;Lyon Avenue Montaigne;94612;6032338762;1/10/1996;Avenue Montaigne;Lyon
123;50645;Hugo;Moreau;Marseille Rue de la Paix;7518;7184847725;12/28/2005;Rue de la Paix;Marseille
124;765918;Chloé;Simon;Marseille Rue de la Paix;87897;5490270039;3/27/1988;Rue de la Paix;Marseille
125;50645;Inès;Martin;Marseille Avenue des Champs-Élysées;96848;1370666551;12/25/2002;Avenue des Champs-Élysées;Marseille
126;72481;Emma;Bernard;Paris Rue de la Paix;88900;60927951;7/23/1993;Rue de la Paix;Paris
127;11035;Inès;Durand;Toulouse Avenue des Champs-Élysées;9604;2607913462;3/20/1971;Avenue des Champs-Élysées;Toulouse
128;818276;Inès;Martin;Toulouse Rue Lafayette;52014;8258925301;11/11/1996;Rue Lafayette;Toulouse
129;103554;Hugo;Dubois;Toulouse Rue Lafayette;36265;3215459981;6/10/1997;Rue Lafayette;Toulouse
130;255901;Louis;Simon;Marseille Rue des Martyrs;52003;1933481293;9/14/1987;Rue des Martyrs;Marseille
131;102092;Chloé;Simon;Nice Avenue Victor Hugo;22813;3846517623;10/26/1982;Avenue Victor Hugo;Nice
132;594536;Emma;Richard;Nice Avenue Montaigne;43522;8568431674;4/17/1972;Avenue Montaigne;Nice
133;754804;Arthur;Simon;Lyon Avenue Montaigne;66066;4313127801;4/15/1999;Avenue Montaigne;Lyon
134;2530;Léa;Durand;Lyon Rue Lafayette;38516;8209428241;10/4/1978;Rue Lafayette;Lyon
135;558783;Rose;Bernard;Paris Rue Lafayette;22101;9562096718;11/21/1984;Rue Lafayette;Paris
136;984618;Nathan;Richard;Toulouse Avenue Montaigne;68882;4906337236;5/20/2005;Avenue Montaigne;Toulouse
137;599003;Rose;Simon;Nice Rue Lafayette;76696;1163621651;7/29/1977;Rue Lafayette;Nice
138;251659;Camille;Martin;Marseille Avenue Montaigne;43473;7334044169;6/10/2002;Avenue Montaigne;Marseille
139;767774;Rose;Leroy;Lyon Rue de la République;80758;4126528393;6/16/1974;Rue de la République;Lyon
140;692164;Nathan;Petit;Toulouse Boulevard Saint-Germain;55731;3261736461;5/21/1991;Boulevard Saint-Germain;Toulouse
141;81335;Nathan;Robert;Lyon Boulevard Haussmann;56749;3176622260;9/28/1973;Boulevard Haussmann;Lyon
142;926928;Gabriel;Durand;Toulouse Avenue des Champs-Élysées;47494;94054770;9/22/2003;Avenue des Champs-Élysées;Toulouse
143;338633;Gabriel;Robert;Toulouse Boulevard Saint-Germain;77260;3803716926;8/13/1991;Boulevard Saint-Germain;Toulouse
144;979207;Gabriel;Martin;Strasbourg Boulevard Haussmann;38382;9769276960;10/11/1998;Boulevard Haussmann;Strasbourg
145;451077;Jade;Leroy;Nice Rue de la République;24708;2337272052;11/25/1977;Rue de la République;Nice
146;407023;Milo;Richard;Marseille Boulevard Saint-Germain;88286;7695615854;2/29/2000;Boulevard Saint-Germain;Marseille
147;407023;Milo;Martin;Lyon Rue Lafayette;47063;6745246317;12/15/2000;Rue Lafayette;Lyon
148;242121;Léa;Robert;Paris Rue de la République;55699;9115093042;8/10/1986;Rue de la République;Paris
149;681308;Camille;Dubois;Marseille Rue des Martyrs;74682;9564139716;1/4/1972;Rue des Martyrs;Marseille
150;422019;Chloé;Simon;Toulouse Avenue Victor Hugo;73952;2032953994;9/4/2001;Avenue Victor Hugo;Toulouse
151;212948;Jade;Petit;Paris Rue Lafayette;82789;9626143304;4/4/1988;Rue Lafayette;Paris
152;948966;Louis;Martin;Lyon Boulevard Haussmann;84373;4685653548;3/28/1990;Boulevard Haussmann;Lyon
153;302218;Inès;Bernard;Strasbourg Rue de la République;12480;4969129991;6/18/1996;Rue de la République;Strasbourg
154;761082;Nathan;Martin;Toulouse Rue de la Paix;60522;7817110085;6/12/1972;Rue de la Paix;Toulouse
155;846749;Chloé;Simon;Strasbourg Boulevard Saint-Germain;38761;4702067753;11/19/1973;Boulevard Saint-Germain;Strasbourg
156;500094;Inès;Moreau;Marseille Avenue Montaigne;40641;3034046146;10/12/1985;Avenue Montaigne;Marseille
157;275228;Inès;Robert;Marseille Boulevard Saint-Germain;11692;7522781795;8/4/1973;Boulevard Saint-Germain;Marseille
158;756671;Milo;Robert;Marseille Rue de Rivoli;51792;5055212357;6/27/1997;Rue de Rivoli;Marseille
159;347992;Lucas;Petit;Toulouse Rue des Martyrs;74839;7994092268;3/28/1976;Rue des Martyrs;Toulouse
160;754804;Camille;Thomas;Nice Boulevard Haussmann;93440;4050712377;3/23/1992;Boulevard Haussmann;Nice
161;147978;Camille;Bernard;Toulouse Rue de la République;47867;3584386829;11/30/1997;Rue de la République;Toulouse
162;594536;Inès;Martin;Strasbourg Avenue des Champs-Élysées;26750;1175301035;9/8/2001;Avenue des Champs-Élysées;Strasbourg
163;649896;Rose;Thomas;Strasbourg Rue des Martyrs;43253;3638483339;12/28/2004;Rue des Martyrs;Strasbourg
164;973683;Inès;Robert;Nice Avenue des Champs-Élysées;21946;4775959190;12/22/1997;Avenue des Champs-Élysées;Nice
165;918503;Hugo;Martin;Marseille Avenue Montaigne;15519;7121919761;7/6/1998;Avenue Montaigne;Marseille
166;601478;Milo;Thomas;Nice Avenue des Champs-Élysées;21660;6732393324;8/24/1974;Avenue des Champs-Élysées;Nice
167;233042;Léa;Thomas;Lyon Rue Lafayette;69409;2313703789;11/28/1976;Rue Lafayette;Lyon
168;724283;Louis;Durand;Marseille Avenue des Champs-Élysées;82307;2062644590;9/30/1988;Avenue des Champs-Élysées;Marseille
169;452944;Milo;Durand;Lyon Avenue Montaigne;3998;5649365350;3/23/1988;Avenue Montaigne;Lyon
170;781309;Lucas;Leroy;Marseille Boulevard Saint-Germain;40241;6339687131;1/10/1971;Boulevard Saint-Germain;Marseille
171;333526;Manon;Bernard;Paris Avenue Montaigne;87310;5218479527;4/17/1973;Avenue Montaigne;Paris
172;743194;Jade;Richard;Paris Boulevard Saint-Germain;54994;1931040133;4/8/1976;Boulevard Saint-Germain;Paris
173;547343;Chloé;Simon;Paris Boulevard Saint-Germain;57056;4642956247;9/5/1998;Boulevard Saint-Germain;Paris
174;726960;Chloé;Robert;Marseille Rue des Martyrs;45506;8338339601;8/24/1979;Rue des Martyrs;Marseille
175;161110;Arthur;Martin;Strasbourg Rue des Martyrs;26475;623947935;11/29/1976;Rue des Martyrs;Strasbourg
176;341862;Inès;Durand;Lyon Rue de Rivoli;8777;8804799641;6/1/1997;Rue de Rivoli;Lyon
177;600983;Arthur;Moreau;Nice Rue de la République;38519;8602788266;1/16/1973;Rue de la République;Nice
178;915533;Hugo;Petit;Nice Avenue des Champs-Élysées;62687;919217400;2/14/1971;Avenue des Champs-Élysées;Nice
179;458951;Emma;Durand;Nice Rue de la République;28005;6110970808;3/12/1980;Rue de la République;Nice
180;452944;Chloé;Simon;Marseille Rue de Rivoli;2945;5005949135;2/16/1998;Rue de Rivoli;Marseille
181;991010;Hugo;Simon;Toulouse Avenue des Champs-Élysées;55771;8340211498;11/30/2005;Avenue des Champs-Élysées;Toulouse
182;371416;Lucas;Petit;Strasbourg Avenue Victor Hugo;69138;237108046;9/18/1994;Avenue Victor Hugo;Strasbourg
183;882389;Emma;Robert;Lyon Rue des Martyrs;55231;4964991792;8/14/1995;Rue des Martyrs;Lyon
184;275228;Nathan;Thomas;Nice Rue de la République;24193;1806455511;10/16/1978;Rue de la République;Nice
185;917423;Hugo;Richard;Lyon Boulevard Saint-Germain;32940;525257349;6/10/1982;Boulevard Saint-Germain;Lyon
186;653936;Chloé;Richard;Strasbourg Rue de la Paix;58518;4666927255;7/6/1997;Rue de la Paix;Strasbourg
187;316572;Léa;Petit;Nice Rue de la République;16839;9631964930;10/15/1993;Rue de la République;Nice
188;338240;Hugo;Bernard;Paris Boulevard Haussmann;99894;6522744767;7/10/1975;Boulevard Haussmann;Paris
189;509699;Chloé;Moreau;Lyon Rue de la Paix;82947;75024780;11/10/1976;Rue de la Paix;Lyon
190;466477;Hugo;Leroy;Toulouse Rue Lafayette;40184;3076870092;7/18/1990;Rue Lafayette;Toulouse
191;357892;Camille;Martin;Toulouse Avenue Montaigne;72274;427826470;9/13/2005;Avenue Montaigne;Toulouse
192;149419;Nathan;Durand;Marseille Rue Lafayette;26205;5649533504;11/15/1987;Rue Lafayette;Marseille
193;601580;Milo;Robert;Paris Boulevard Haussmann;73626;1699984395;2/18/1995;Boulevard Haussmann;Paris
194;594569;Emma;Richard;Lyon Avenue Victor Hugo;57984;194401243;2/21/1975;Avenue Victor Hugo;Lyon
195;253875;Gabriel;Durand;Nice Rue des Martyrs;73446;2494240190;7/7/1987;Rue des Martyrs;Nice
196;910246;Lucas;Bernard;Nice Rue de la Paix;55440;7997398228;12/15/1986;Rue de la Paix;Nice
197;458759;Manon;Thomas;Strasbourg Rue des Martyrs;53549;9046068031;5/11/1979;Rue des Martyrs;Strasbourg
198;643418;Nathan;Thomas;Toulouse Boulevard Saint-Germain;77426;6585806735;5/13/1982;Boulevard Saint-Germain;Toulouse
199;6095;Emma;Petit;Toulouse Avenue Montaigne;35512;6975603154;2/26/1982;Avenue Montaigne;Toulouse
200;459491;Chloé;Richard;Nice Rue de la Paix;10400;5405781010;3/5/1993;Rue de la Paix;Nice
201;599003;Hugo;Bernard;Paris Avenue des Champs-Élysées;62804;7841379501;8/27/1996;Avenue des Champs-Élysées;Paris
202;458951;Emma;Petit;Lyon Avenue des Champs-Élysées;15312;6177600085;4/2/1981;Avenue des Champs-Élysées;Lyon
203;851712;Lucas;Bernard;Nice Rue de la République;81673;7831752129;8/31/1985;Rue de la République;Nice
204;65551;Léa;Martin;Strasbourg Avenue Montaigne;98109;2249746796;7/13/2000;Avenue Montaigne;Strasbourg
205;145583;Léa;Simon;Strasbourg Boulevard Saint-Germain;46588;5213929923;12/1/1971;Boulevard Saint-Germain;Strasbourg
206;228068;Chloé;Petit;Strasbourg Rue de Rivoli;37046;4645208993;5/10/1972;Rue de Rivoli;Strasbourg
207;561978;Gabriel;Leroy;Strasbourg Avenue Victor Hugo;41312;9281293838;2/6/2005;Avenue Victor Hugo;Strasbourg
208;931946;Rose;Petit;Paris Rue de Rivoli;13182;6201946543;4/27/1976;Rue de Rivoli;Paris
209;261526;Hugo;Dubois;Strasbourg Avenue Montaigne;84229;2792683090;11/18/1997;Avenue Montaigne;Strasbourg
210;118819;Rose;Durand;Strasbourg Rue de Rivoli;75065;7914773786;11/18/1995;Rue de Rivoli;Strasbourg
211;105624;Inès;Dubois;Lyon Avenue Montaigne;30068;5017982671;12/23/1973;Avenue Montaigne;Lyon
212;902797;Léa;Richard;Nice Avenue Montaigne;89550;2634322658;7/9/1994;Avenue Montaigne;Nice
213;991010;Lucas;Leroy;Toulouse Avenue Victor Hugo;16488;548230153;2/18/1992;Avenue Victor Hugo;Toulouse
214;799454;Milo;Moreau;Paris Rue de la Paix;26985;5945662631;6/26/1994;Rue de la Paix;Paris
215;533135;Lucas;Martin;Paris Rue des Martyrs;65918;276879325;12/26/1988;Rue des Martyrs;Paris
216;81335;Arthur;Leroy;Lyon Rue de la République;5833;7568073874;5/31/1980;Rue de la République;Lyon
217;111957;Jade;Thomas;Marseille Rue de Rivoli;50319;5974324242;6/19/1989;Rue de Rivoli;Marseille
218;280437;Emma;Petit;Paris Rue des Martyrs;15062;9675505613;8/18/2000;Rue des Martyrs;Paris
219;255901;Rose;Thomas;Lyon Boulevard Saint-Germain;72524;697580271;5/27/1994;Boulevard Saint-Germain;Lyon
220;643418;Arthur;Leroy;Marseille Avenue des Champs-Élysées;61906;5331388280;8/4/1978;Avenue des Champs-Élysées;Marseille
221;724283;Hugo;Simon;Marseille Rue Lafayette;84925;8521903881;9/10/1982;Rue Lafayette;Marseille
222;391766;Lucas;Petit;Lyon Avenue Montaigne;36542;618544781;7/2/1973;Avenue Montaigne;Lyon
223;536307;Nathan;Martin;Lyon Rue de Rivoli;41403;6850173448;1/26/1991;Rue de Rivoli;Lyon
224;123501;Louis;Leroy;Lyon Avenue des Champs-Élysées;42142;4015925637;11/2/1996;Avenue des Champs-Élysées;Lyon
225;319856;Nathan;Durand;Lyon Rue de la République;18571;5460623553;1/8/1970;Rue de la République;Lyon
226;693367;Milo;Moreau;Marseille Avenue Montaigne;24124;2150894211;4/26/1989;Avenue Montaigne;Marseille
227;653936;Lucas;Moreau;Marseille Rue de la Paix;43152;1437897738;11/12/1999;Rue de la Paix;Marseille
228;498898;Emma;Simon;Marseille Rue de la Paix;91761;1705767699;9/14/1974;Rue de la Paix;Marseille
229;926928;Rose;Leroy;Nice Rue Lafayette;57647;9312827499;12/22/1999;Rue Lafayette;Nice
230;470720;Inès;Richard;Strasbourg Boulevard Saint-Germain;30251;7771616267;11/5/1999;Boulevard Saint-Germain;Strasbourg
231;849977;Milo;Moreau;Marseille Avenue Victor Hugo;79327;7191713372;3/27/2001;Avenue Victor Hugo;Marseille
232;383868;Manon;Dubois;Strasbourg Rue de Rivoli;66250;8180245713;10/31/1991;Rue de Rivoli;Strasbourg
233;336350;Milo;Simon;Marseille Rue de la Paix;49816;5587523896;9/15/1976;Rue de la Paix;Marseille
234;359322;Manon;Durand;Toulouse Rue des Martyrs;49495;4972891300;7/28/2005;Rue des Martyrs;Toulouse
235;567930;Léa;Dubois;Paris Rue de Rivoli;97248;8500570911;2/21/1975;Rue de Rivoli;Paris
236;686189;Milo;Durand;Paris Avenue Victor Hugo;14471;7760955219;5/14/1996;Avenue Victor Hugo;Paris
237;373913;Milo;Richard;Nice Avenue Victor Hugo;45298;3181151912;9/14/1998;Avenue Victor Hugo;Nice
238;21373;Jade;Moreau;Strasbourg Avenue Montaigne;82024;7285186376;7/4/2004;Avenue Montaigne;Strasbourg
239;758392;Emma;Thomas;Toulouse Avenue Victor Hugo;8343;6062746796;11/3/1984;Avenue Victor Hugo;Toulouse
